                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.9306,                 2.7586,                0.92417,                0.00626,                      1,                0.85536,                0.49772,                0.74446,                 2.9095,                0.78841,                0.00026,                0.00026,                0.00026
                      2,                0.88888,                 1.1819,                0.91396,                0.00623,                0.99505,                0.53807,                0.45738,                0.61281,                 2.9108,                0.81701,             0.00052931,             0.00052931,             0.00052931
                      3,                0.88164,                 1.0315,                0.91919,                0.00623,                0.99505,                0.09103,                 0.0564,                0.76049,                 3.2008,                0.86534,             0.00078753,             0.00078753,             0.00078753
                      4,                  0.869,                0.96494,                0.91171,                0.00623,                0.99505,                0.11784,                0.08767,                0.77789,                 2.9297,                  0.848,              0.0010347,              0.0010347,              0.0010347
                      5,                0.91127,                 0.9616,                0.92795,                0.98376,                0.59991,                0.92522,                0.73985,                  0.753,                 2.0455,                0.84793,              0.0012707,              0.0012707,              0.0012707
                      6,                0.85736,                0.88561,                0.90131,                0.99202,                0.92275,                0.98619,                0.77916,                0.77019,                 1.5159,                0.85511,              0.0014957,              0.0014957,              0.0014957
                      7,                0.85005,                 0.8427,                0.92405,                0.98583,                 0.9703,                 0.9912,                0.80353,                0.70958,                 1.3221,                0.83661,              0.0017095,              0.0017095,              0.0017095
                      8,                 0.8353,                0.78248,                0.89928,                0.95904,                0.98515,                0.99127,                0.78324,                0.76428,                 1.0288,                0.85122,              0.0017228,              0.0017228,              0.0017228
                      9,                0.87694,                0.77793,                0.93001,                0.95679,                0.98667,                0.98884,                0.79225,                0.72037,                0.88236,                 0.8614,              0.0017228,              0.0017228,              0.0017228
                     10,                0.79549,                  0.731,                0.90102,                0.95126,                0.99505,                0.98889,                0.79114,                0.72823,                0.70443,                0.86416,              0.0016832,              0.0016832,              0.0016832
                     11,                0.82647,                0.72503,                0.92101,                0.99138,                 0.9703,                0.99317,                0.82771,                 0.6762,                0.63451,                 0.8589,              0.0016436,              0.0016436,              0.0016436
                     12,                 0.7946,                0.70951,                0.90035,                0.98514,                 0.9847,                0.99349,                0.84148,                0.63611,                0.66393,                0.84244,               0.001604,               0.001604,               0.001604
                     13,                0.75582,                0.66275,                0.88355,                0.98315,                 0.9802,                0.99375,                0.83892,                0.63741,                 0.5917,                0.84059,              0.0015644,              0.0015644,              0.0015644
                     14,                0.78775,                0.66557,                0.90222,                0.98256,                0.97595,                0.99381,                0.82755,                0.67227,                0.56221,                 0.8385,              0.0015248,              0.0015248,              0.0015248
                     15,                0.78095,                0.61961,                0.88972,                 0.9827,                0.98419,                0.99396,                0.83899,                0.60978,                0.52028,                0.83464,              0.0014852,              0.0014852,              0.0014852
                     16,                0.75444,                0.61685,                0.88836,                0.97091,                0.99147,                0.99294,                0.86161,                0.57322,                0.52765,                 0.8221,              0.0014456,              0.0014456,              0.0014456
                     17,                0.72064,                0.58352,                0.87232,                0.97063,                0.98762,                0.99312,                0.85259,                0.59948,                0.52245,                0.82634,               0.001406,               0.001406,               0.001406
                     18,                 0.7334,                0.57786,                0.88381,                0.96857,                0.99257,                0.98803,                0.83162,                0.63375,                0.57271,                0.83076,              0.0013664,              0.0013664,              0.0013664
                     19,                0.70664,                0.57312,                0.86681,                0.99003,                0.98324,                0.99402,                0.84636,                0.62503,                0.49756,                 0.8305,              0.0013268,              0.0013268,              0.0013268
                     20,                0.69409,                0.53901,                0.87786,                0.98685,                0.98515,                0.99456,                0.86338,                0.57463,                0.46234,                0.82066,              0.0012872,              0.0012872,              0.0012872
                     21,                0.69549,                0.52962,                0.87738,                0.98514,                 0.9843,                0.99463,                0.85523,                0.59592,                0.46796,                0.82655,              0.0012476,              0.0012476,              0.0012476
                     22,                0.72052,                0.54061,                0.85904,                0.99005,                0.98533,                0.99452,                0.85734,                0.60984,                0.48843,                0.83075,               0.001208,               0.001208,               0.001208
                     23,                0.67526,                0.52733,                0.87823,                0.98514,                0.98448,                0.99463,                0.84925,                0.59028,                0.45664,                0.82917,              0.0011684,              0.0011684,              0.0011684
                     24,                0.68243,                0.51479,                0.87835,                0.98755,                0.98189,                 0.9944,                0.86347,                0.56744,                0.44317,                0.82547,              0.0011288,              0.0011288,              0.0011288
                     25,                0.66058,                0.49405,                0.87065,                0.95714,                0.99499,                0.99258,                0.86888,                0.54126,                 0.4467,                0.82294,              0.0010892,              0.0010892,              0.0010892
                     26,                0.63586,                0.48879,                0.85866,                0.98506,                0.97919,                0.99445,                0.87812,                0.54156,                0.42401,                0.81968,              0.0010496,              0.0010496,              0.0010496
                     27,                0.63335,                0.47145,                0.84513,                0.98758,                0.98423,                0.99448,                0.87751,                0.53359,                0.42074,                 0.8156,                0.00101,                0.00101,                0.00101
                     28,                0.63471,                0.47087,                0.86085,                0.98511,                 0.9823,                0.99446,                0.87124,                0.52342,                0.39456,                0.81246,              0.0009704,              0.0009704,              0.0009704
                     29,                0.64365,                0.46117,                0.86425,                0.98266,                0.98207,                0.99438,                0.88657,                0.49484,                0.38753,                0.80878,              0.0009308,              0.0009308,              0.0009308
                     30,                0.63931,                0.45489,                0.85739,                0.98676,                0.98515,                0.99432,                0.87629,                0.51923,                0.39654,                0.81609,              0.0008912,              0.0008912,              0.0008912
                     31,                0.64455,                0.46947,                0.86959,                0.98634,                0.98515,                0.99415,                0.87433,                0.53094,                0.38996,                0.81489,              0.0008516,              0.0008516,              0.0008516
                     32,                0.64386,                0.44042,                0.86814,                0.98653,                0.98267,                 0.9945,                0.87146,                0.52412,                0.37419,                0.81275,               0.000812,               0.000812,               0.000812
                     33,                0.64435,                0.45205,                 0.8625,                0.98601,                0.98515,                 0.9945,                0.88262,                0.50699,                0.37751,                0.80749,              0.0007724,              0.0007724,              0.0007724
                     34,                0.62595,                0.44871,                0.84596,                 0.9875,                0.98515,                0.99456,                0.89366,                0.48506,                 0.3651,                0.80483,              0.0007328,              0.0007328,              0.0007328
                     35,                0.61787,                0.44139,                0.86562,                0.98757,                0.98347,                0.99458,                0.89289,                0.47501,                0.35788,                0.80562,              0.0006932,              0.0006932,              0.0006932
                     36,                0.58995,                0.41398,                0.85297,                0.98905,                 0.9802,                 0.9946,                0.88703,                0.48055,                0.34925,                0.80376,              0.0006536,              0.0006536,              0.0006536
                     37,                0.61441,                0.42579,                0.85213,                0.98566,                0.98515,                0.99458,                 0.8816,                0.48501,                0.35186,                0.80341,               0.000614,               0.000614,               0.000614
                     38,                0.60048,                0.42745,                 0.8572,                0.99251,                0.98407,                0.99453,                0.89383,                 0.4713,                0.35517,                 0.7991,              0.0005744,              0.0005744,              0.0005744
                     39,                0.60769,                0.42323,                0.85578,                0.99004,                 0.9802,                0.99458,                0.90485,                0.44949,                0.32935,                 0.7969,              0.0005348,              0.0005348,              0.0005348
                     40,                0.59628,                0.40521,                0.84933,                0.99001,                 0.9812,                0.99456,                0.89088,                0.47948,                0.33603,                0.80046,              0.0004952,              0.0004952,              0.0004952
                     41,                0.55663,                0.43086,                 0.8244,                0.98518,                 0.9802,                0.99461,                0.89777,                0.46982,                0.34512,                0.80066,              0.0004556,              0.0004556,              0.0004556
                     42,                0.53025,                 0.4122,                0.82594,                0.98751,                0.97865,                0.99458,                0.89779,                0.46557,                0.33458,                0.80181,               0.000416,               0.000416,               0.000416
                     43,                 0.5467,                0.40469,                0.83923,                0.98508,                0.98057,                0.99463,                0.90451,                0.44636,                0.32648,                0.79921,              0.0003764,              0.0003764,              0.0003764
                     44,                0.52456,                0.38911,                0.82552,                0.98508,                0.98515,                 0.9946,                0.90845,                 0.4456,                0.33204,                0.79602,              0.0003368,              0.0003368,              0.0003368
                     45,                0.54554,                0.38663,                0.83442,                0.98034,                0.98752,                0.99455,                0.90949,                0.45071,                0.32673,                0.79644,              0.0002972,              0.0002972,              0.0002972
                     46,                0.51759,                0.38109,                0.82129,                0.97724,                0.99505,                0.99458,                0.90962,                0.44164,                0.32276,                0.79541,              0.0002576,              0.0002576,              0.0002576
                     47,                0.50778,                0.37217,                0.82668,                0.97703,                0.99505,                0.99463,                0.90636,                0.43614,                0.32214,                0.79477,               0.000218,               0.000218,               0.000218
                     48,                0.50524,                0.36921,                0.81727,                0.97809,                0.99505,                0.99468,                0.90744,                0.43926,                0.32026,                0.79511,              0.0001784,              0.0001784,              0.0001784
                     49,                0.50236,                0.36585,                0.82246,                0.97919,                0.99257,                0.99468,                0.91264,                0.43456,                0.31537,                0.79356,              0.0001388,              0.0001388,              0.0001388
                     50,                0.49118,                0.36299,                0.81858,                0.97948,                0.99257,                 0.9947,                0.90919,                0.43363,                0.30524,                0.79219,               9.92e-05,               9.92e-05,               9.92e-05
